,id,Airport Name,City,Country,IATA Code,ICAO Code,Latitude,Longitude,Altitude,UTC TimeZone,DST,Continent/State
0,1580,Plzeň-Líně Airport,Line,,\N,LKLN,49.6752014,13.2746,1188,1,E,Europe/Prague
1,7036,Bagram Air Base,Kabul,Afghanistan,OAI,OAIX,34.9460983,69.2649994,4895,4.5,U,Asia/Kabul
2,8146,Sharana Airstrip,Sharona,Afghanistan,OAS,OASA,33.12575,68.838517,7340,4.5,N,Asia/Kabul
3,2056,Konduz Airport,Kunduz,Afghanistan,UND,OAUZ,36.6651001,68.9107971,1457,4.5,U,Asia/Kabul
4,10057,Farah Airport,Farah,Afghanistan,FAH,OAFR,32.3670006,62.1829987,3083,4.3,N,\N
5,7868,Camp Bastion Airport,Camp Bastion,Afghanistan,OAZ,OAZI,31.8638,64.2246017,2943,4.5,N,Asia/Kabul
6,13469,Ghazni Airport,Ghazni,Afghanistan,GZI,OAGN,33.5312004,68.4129028,7150,4.5,N,\N
7,8127,Khost Airport,Khost,Afghanistan,KHT,OAKS,33.3334007,69.9520035,3756,4.5,N,Asia/Kabul
8,2050,Hamid Karzai International Airport,Kabul,Afghanistan,KBL,OAKB,34.565899,69.212303,5877,4.5,U,Asia/Kabul
9,2049,Jalalabad Airport,Jalalabad,Afghanistan,JAA,OAJL,34.3997993,70.4985962,1814,4.5,U,Asia/Kabul
10,2052,Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,35.9308014,64.7609024,2743,4.5,U,Asia/Kabul
11,2051,Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,31.5058002,65.8478012,3337,4.5,U,Asia/Kabul
12,2054,Shindand Airport,Shindand,Afghanistan,OAH,OASD,33.3913002,62.2610016,3773,4.5,U,Asia/Kabul
13,2055,Sheberghan Airport,Sheberghan,Afghanistan,\N,OASG,36.7508011,65.9132004,1053,4.5,U,Asia/Kabul
14,2048,Herat Airport,Herat,Afghanistan,HEA,OAHR,34.2099991,62.2282982,3206,4.5,U,Asia/Kabul
15,2053,Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR,OAMS,36.7069016,67.2097015,1284,4.5,U,Asia/Kabul
16,7500,Zaranj Airport,Zaranj,Afghanistan,ZAJ,OAZJ,30.972222,61.865833,1572,4.5,U,Asia/Kabul
17,7499,Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,OATN,32.6041985,65.865799,4429,4.5,U,Asia/Kabul
18,7501,Chakcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,34.5330009,65.2669983,7383,4.5,U,Asia/Kabul
19,5922,Fayzabad Airport,Faizabad,Afghanistan,FBD,OAFZ,37.121101,70.518097,3872,4.5,U,Asia/Kabul
20,8773,Bost Airport,Lashkar Gah,Afghanistan,BST,OABT,31.5597,64.3649979,2464,4.5,U,Asia/Kabul
21,8267,Shank Air Base,Shank,Afghanistan,OAA,OASH,33.9225,69.0772222,6890,4.5,N,Asia/Kabul
22,8825,Bamiyan Airport,Bamyan,Afghanistan,BIN,OABN,34.8170013,67.8170013,8367,4.5,N,Asia/Kabul
23,11869,Gjadër Air Base,Gjadër,Albania,\N,LAGJ,41.895199,19.5987,23,\N,\N,\N
24,11872,Vlorë Air Base,Vlorë,Albania,\N,LAVL,40.4761009,19.4741993,3,\N,\N,\N
25,11870,Kukës Airport,Kukës,Albania,\N,LAKU,42.033699,20.4158993,1120,\N,\N,\N
26,11871,Kuçovë Air Base,Kuçovë,Albania,\N,LAKV,40.7719002,19.9018993,135,\N,\N,\N
27,1190,Tirana International Airport Mother Teresa,Tirana,Albania,TIA,LATI,41.4146996,19.7206001,126,1,E,Europe/Tirane
28,243,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.9172001,5.41277981,492,1,N,Africa/Algiers
29,209,Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.7120018,5.06992006,20,1,N,Africa/Algiers
30,208,Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD,35.3325005,4.2063899,1506,1,N,Africa/Algiers
31,210,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.6910019,3.21540999,82,1,N,Africa/Algiers
32,212,Boufarik Airport,Boufarik,Algeria,\N,DAAK,36.545799,2.87611,335,1,N,Africa/Algiers
33,213,Reggane Airport,Reggan,Algeria,\N,DAAN,26.7101,0.285647,955,1,N,Africa/Algiers
34,211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244,3176,1,N,Africa/Algiers
35,242,Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.2371006,0.27603301,1027,1,N,Africa/Algiers
36,5553,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria,CBH,DAOR,31.6457005,-2.26986003,2661,1,N,Africa/Algiers
37,5554,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,DATM,21.375,0.92388898,1303,1,N,Africa/Algiers
38,6492,Ain Arnat Airport,Setif,Algeria,QSF,DAAS,36.1781006,5.32449007,3360,1,U,Africa/Algiers
39,5552,Batna Airport,Batna,Algeria,BLJ,DABT,35.7521019,6.30858994,2697,1,N,Africa/Algiers
40,244,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515,9.64291,1847,1,N,Africa/Algiers
41,207,Blida Airport,Blida,Algeria,QLD,DAAB,36.5036011,2.81416988,535,1,N,Africa/Algiers
42,5555,Guemar Airport,Guemar,Algeria,ELU,DAUO,33.5113983,6.77679014,203,1,N,Africa/Algiers
43,232,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS,35.1717987,-0.59327501,1614,1,N,Africa/Algiers
44,231,Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239014,-0.62118298,295,1,N,Africa/Algiers
45,234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.8376007,-0.186414,919,1,N,Africa/Algiers
46,233,Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.2076988,0.14714199,1686,1,N,Africa/Algiers
47,229,Tafaraoui Airport,Oran,Algeria,TAF,DAOL,35.5424004,-0.532278,367,1,N,Africa/Algiers
48,228,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,36.2126999,1.33176994,463,1,N,Africa/Algiers
49,230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007,-1.45000005,814,1,N,Africa/Algiers
50,238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.6730003,6.14043999,463,1,N,Africa/Algiers
51,237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.3841019,3.79411006,1512,1,N,Africa/Algiers
52,240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.0677986,6.08866978,279,1,N,Africa/Algiers
53,239,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.2509995,2.51202011,896,1,N,Africa/Algiers
54,236,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.5713005,2.85959005,1306,1,N,Africa/Algiers
55,235,Biskra Airport,Biskra,Algeria,BSK,DAUB,34.7933006,5.73823023,289,1,N,Africa/Algiers
56,241,Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.7644005,2.92833996,2510,1,N,Africa/Algiers
